北海道,hokkaido,北海道,ほっかいどう,ホッカイドウ
青森,aomori,青森県,あおもり,アオモリ
岩手,iwate,岩手県,いわて,イワテ
宮城,miyagi,宮城県,みやぎ,ミヤギ
秋田,akita,秋田県,あきた,アキタ
山形,yamagata,山形県,やまがた,ヤマガタ
福島,fukushima,福島県,ふくしま,フクシマ
茨城,ibaraki,茨城県,いばらき,イバラキ
栃木,tochigi,栃木県,とちぎ,トチギ
群馬,gunma,群馬県,ぐんま,グンマ
埼玉,saitama,埼玉県,さいたま,サイタマ
千葉,chiba,千葉県,ちば,チバ
東京,tokyo,東京都,とうきょう,トウキョウ
神奈川,kanagawa,神奈川県,かながわ,カナガワ
新潟,niigata,新潟県,にいがた,ニイガタ
富山,toyama,富山県,とやま,トヤマ
石川,ishikawa,石川県,いしかわ,イシカワ
福井,fukui,福井県,ふくい,フクイ
山梨,yamanashi,山梨県,やまなし,ヤマナシ
長野,nagano,長野県,ながの,ナガノ
岐阜,gifu,岐阜県,ぎふ,ギフ
静岡,shizuoka,静岡県,しずおか,シズオカ
愛知,aichi,愛知県,あいち,アイチ
三重,mie,三重県,みえ,ミエ
滋賀,shiga,滋賀県,しが,シガ
京都,kyoto,京都府,きょうと,キョウト
大阪,osaka,大阪府,おおさか,オオサカ
兵庫,hyogo,兵庫県,ひょうご,ヒョウゴ
奈良,nara,奈良県,なら,ナラ
和歌山,wakayama,和歌山県,わやかま,ワヤカマ
鳥取,tottori,鳥取県,とっとり,トットリ
島根,shimane,島根県,しまね,シマネ
岡山,okayama,岡山県,おかやま,オカヤマ
広島,hiroshima,広島県,ひろしま,ヒロシマ
山口,yamaguchi,山口県,やまぐち,ヤマグチ
徳島,tokushima,徳島県,とくしま,トクシマ
香川,kagawa,香川県,かがわ,カガワ
愛媛,ehime,愛媛県,えひめ,エヒメ
高知,kochi,高知県,こうち,コウチ
福岡,fukuoka,福岡県,ふくおか,フクオカ
佐賀,saga,佐賀県,さが,サガ
長崎,nagasaki,長崎県,ながさき,ナガサキ
熊本,kumamoto,熊本県,くまもと,クマモト
大分,oita,大分県,おおいた,オオイタ
宮崎,miyazaki,宮崎県,みやざき,ミヤザキ
鹿児島,kagoshima,鹿児島県,かごしま,カゴシマ
沖縄,okinawa,沖縄県,おきなわ,オキナワ